字段标识,字段描述,字段名称,数据类型,字段取值示例,出现次数,值集校验取值,字段含义解读,报送税局字段层级,交叉校验规则,最小字符长度,最大字符长度,最小小数位精度,最大小数位精度,来源文档,来源页码
BT-98,"The reason for the discount at the document level, expressed in the form of a code. A group of business terms that provide information on costs and taxes other than VAT, applicable to the invoice as a whole.",Document-Level Discount Reason Code,Code,false,0..1,"Remark: With cbc:ChargeIndica tor = ""false"" Sa cbc:ChargeIndica","The reason for the discount at the document level, expressed in the form of a code. A group of business terms that provide information on costs and taxes other than VAT, applicable to the invoice as a whole. The determinants of the UNTDID code list 5189 [3] are used. For document-level discount reasons and document-level discount reasons, they must provide the same discount reason. Remark: With cbc:ChargeIndica tor = ""false"" Sa cbc:ChargeIndica","Invoice: /Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCodeWith
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:AllowanceChargeReasonCodecbc:ChargeIndica",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"71,73"
BT-99,The amount of the cost excluding VAT.,Document-Level Cost Amount,Amount,true,1..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The amount of the cost excluding VAT. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cbc:AmountSa
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:Amountcbc:ChargeIndica",BR-36 Each document-level expense (BG-21) must have a document-level expense amount (BT-99),,,,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"73,74"
BT-100,A base that can be used together with the percentage of cost at document level for Calculation of the amount of the cost of document level.,Document-level cost base,Amount,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","A base that can be used together with the percentage of cost at document level for Calculation of the amount of the cost of document level. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cbc:BaseAmountSa
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:BaseAmountcbc:ChargeIndica",,,,,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,74
BT-101,A percentage that can be used together with the document-level cost base to calculate the document-level cost amount.,Percentage of cost at the document level,Percentage,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","A percentage that can be used together with the document-level cost base to calculate the document-level cost amount. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumericSa
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:MultiplierFactorNumericcbc:ChargeIndica",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,74
BT-102,A coded VAT category identification that is applied to the cost at the document level.,Document-level VAT cost category code,Code,true,1..1,"UNTDID 5305; Remark: Sa cbc:ChargeIndica tor = ""true""","A coded VAT category identification that is applied to the cost at the document level. The following determinants from UNTDID 5305 [3] are used (additional clarification in parentheses): - Standard rate (subject to VAT on the standard way). - Goods with a zero rate (subject to VAT at a zero percentage rate) - Tax Exempt (VAT/IGIC/IPSI) - VAT rules for reverse charge (VAT/IGIC/IPSI reverse charge rules apply) - VAT exemption for intra-EU supplies of goods (VAT/IGIC/IPSI not charged due to intra-EU supply rules) - A free export item, the tax is not (VAT/IGIC/IPSI is not charged due to exports outside the EU) - Services outside the scope of tax (VAT/IGIC/IPSI does not apply to sales) - General indirect tax for the Canary Islands (subject to IGIC tax) - Subject to IPSI (tax for Ceuta and Melilla) Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:IDSa
CreditNote: /CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:IDcbc:ChargeIndica",BR-37 Each document-level expense (BG-21) must have a document-level cost VAT category code (BT-102),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,74
HR-BT-6,Support for non-VAT items,VAT Cost Category Code at Document Level,Code,true,0..1,HR-TB-2,Support for non-VAT items,"Invoice: /Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Name
CreditNote: /CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:Name",HR-BR-11 Each document-level expense (BG-21) that is not subject to VAT or is exempt from VAT must have a document- level VAT category code (HR-BT-6) from Table HR-TB-2 HR VAT Category Code,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,74
BT-103,The VAT rate shown as a percentage applied to the cost at the document level.,Document-level cost VAT rate,Percentage,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The VAT rate shown as a percentage applied to the cost at the document level. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:PercentSa
CreditNote: /CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:Percentcbc:ChargeIndica","BR-S-7 In a document-level cost (BG-21), where the document-level cost VAT category (BT-102) is ""Standard rated"", the document-level cost VAT rate (BT-103) must be greater than zero. | BR-Z-7 In document-level cost (BG-21), where the document-level cost VAT category (BT-102) is ""Zero rated"", the document-level cost VAT rate (BT-103) must be 0 (zero). | BR-E-7 In a document-level expense (BG-21), where the document-level cost VAT category (BT-102) is ""Exempt from VAT"", the document-level cost VAT rate (BT-103) must be 0 (zero). | BR-AE-7 In a document-level cost (BG-21), where the document-level cost VAT category (BT-102) is ""Reverse charge"", the document-level cost VAT rate (BT-103) must be 0 (zero). | BR-IC-7 In a document-level cost (BG-21), where the document-level cost VAT category (BT-102) is ""Intra-community supply"", the document-level cost VAT rate (BT-103) must be 0 (zero). | BR-G-7 In a document-level cost (BG-21), where the document-level cost VAT category (BT-102) is ""Export outside the EU"", the document-level cost VAT rate (BT-103) must be 0 (zero). | BR-O-7 In the document-level expense (BG-21), where the VAT category of the document-level expense (BT-102) is ""Not subject to VAT', shall not contain the VAT rate of the cost at document level (BT-103)",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,74
HR-BT-7,The reason for the release from The VAT is expressed as a text.,Reason for VAT exemption of costs at the document level,Text,true,0..1,,The reason for the release from The VAT is expressed as a text.,"Invoice: /Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxExemptionReason
CreditNote: /CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxExemptionReason",HR-BR-13 Any cost at the document level (BG-21) that is not subject to VAT or is exempt must have a reason VAT exemption of the cost at the document level (HR-BT-6) or in the case of the reason for VAT exemption and the cost at the documents (HR-BT-7),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,75
HR-BT-8,The reason for the release from VAT is expressed as a code.,Cost Exemption Reason Code at Document Level,Code,true,0..1,,The reason for the release from VAT is expressed as a code.,"Invoice: /Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxExemptionReasonCode
CreditNote: /CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxExemptionReasonCode",HR-BR-13 Any cost at the document level (BG-21) that is not subject to VAT or is exempt must have a reason VAT exemption of the cost at the document level (HR-BT-6) or in the case of the reason for VAT exemption and the cost at the documents (HR-BT-7),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,75
BT-104,"The reason for the cost at the document level, expressed in the form of text.",Reason for the cost at the document level,Code,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","The reason for the cost at the document level, expressed in the form of text. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonSa
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:AllowanceChargeReasoncbc:ChargeIndica","BR-38 Each document-level expense (BG-21) must have a document-level expense reason (BT-104) or reason code document-level cost (BT-105) | BR-CO-6 The document-level cost reason (BT-105) and the document-level cost reason (BT-104) will indicate the same cost type | BR-CO-22 Each document-level expense (BG-21) must include the document-level expense reason (BT-104) or the cost reasons at the document level (BT-105), or both.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,75
BT-105,Document-level cost reason expressed as code A group of business Concepts that provide the total amount of money for the account.,Document-level cost reason code,Code,true,0..1,"Remark: Sa cbc:ChargeIndica tor = ""true""","Document-level cost reason expressed as code A group of business Concepts that provide the total amount of money for the account. Use UNTDID 5189 code list entries [6]. The document-level discount reason code and the document-level discount reason must point to the same discount reason. Remark: Sa cbc:ChargeIndica tor = ""true""","Invoice: /Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCodeSa
CreditNote: /CreditNote/cac:AllowanceCharge/cbc:AllowanceChargeReasonCodecbc:ChargeIndica",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"75,79"
BT-106,The sum of all net amounts of account items that are listed on the invoice.,Sum of the net amount of invoice items,Amount,250.00,1..1,,The sum of all net amounts of account items that are listed on the invoice.,"Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:LineExtensionAmount",BR-12 The account must have the sum of the net amount of the invoice items (BT-106) | BR-CO-10 Sum of Net Amount of Account Items (BT-106) = Ʃ Net Amount of Account Items (BT-131),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-107,The sum of all document-level discounts on the invoice.,Sum of document-level discounts,Amount,70.00,0..1,,"The sum of all document-level discounts on the invoice. Item-level discounts are included in the net amount of the invoice item, which is added together the net amount of account items.","Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount",BR-CO-11 Sum of all document-level discounts (BT-107) = Ʃ document-level discount amount (BT-92),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-108,The sum of all costs at the document level on the invoice.,Sum of costs at the document level,Amount,30.00,0..1,,"The sum of all costs at the document level on the invoice. Item-level costs are included in the net amount of the invoice item, which is added to the sum of the net amount of the invoice items.","Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount",BR-CO-12 Sum of all document-level costs (BT-108) = Ʃ of document-level cost amounts (BT-99),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-109,The total amount of the bill without VAT.,Total invoice amount excluding VAT,Amount,210.00,1..1,,The total amount of the bill without VAT. The total amount of the invoice excluding VAT is the sum of the net amount of invoice items minus the sum of all discounts at the document level increased by sum of the amounts of all costs at the level Document.,"Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount",BR-13 The invoice must have the total amount of the invoice excluding VAT (BT-109) | BR-CO-13 Total invoice amount excluding VAT (BT-109) = Ʃ Net invoice item amount (BT-131) - Sum of all document-level discounts (BT-107) + Sum of all document-level costs (BT-108),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-110,The total amount of VAT for account.,Total VAT amount for the invoice,Amount,52.50,0..1,,The total amount of VAT for account. The total amount of VAT for an invoice is the sum of the amounts taxes of all categories of VAT.,"Invoice: /Invoice/cac:TaxTotal/cbc:TaxAmount
CreditNote: /CreditNote/cac:TaxTotal/cbc:TaxAmount",BR-CO-14 Total VAT amount of the invoice (BT-110) = Ʃ of the amount of the VAT categories (BT-117),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-111,The total amount of VAT reported in the accounting currency accepted or required in the country Seller.,Total amount of VAT in accounting currency,Amount,7.00,0..1,,The total amount of VAT reported in the accounting currency accepted or required in the country Seller. It is used when the accounting currency for VAT (BT-6) is distinguished from the accounting currency of the invoice (BT-5) in accordance with Article 230 of Directive 2006/112/EC on the VAT Act [2]. The amount of VAT in accounting currency is not It is used in the calculation of total invoice amounts.,"Invoice: /Invoice/cac:TaxTotal/cbc:TaxAmount
CreditNote: /CreditNote/cac:TaxTotal/cbc:TaxAmount","BR-53 If the VAT calculation currency code (BT-6) is present, then the total VAT amount of the invoice in accounting currency (BT-111) will be present",,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-112,The total amount of the bill with VAT.,Total invoice amount including VAT,Amount,262.50,1..1,,The total amount of the bill with VAT. The total amount of the invoice with VAT included.,"Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount",BR-14 The invoice must have the total amount of the invoice with VAT (BT-112) | BR-CO-15 Total invoice amount with VAT (BT-112) = Total invoice amount excluding VAT (BT-109) + Total VAT amount Account (BT-110),,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,79
BT-113,The sum of the amounts that are prepaid.,Amount paid in advance,Amount,50.00,0..1,,The sum of the amounts that are prepaid. This amount is deducted from the total amount account with VAT in order to calculate the VAT due amount to be paid.,"Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:PrepaidAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:PrepaidAmount",,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,80
BT-114,The amount to be added to the total in order to round the amount for payment.,Rounding amount,Amount,0.00,0..1,,The amount to be added to the total in order to round the amount for payment.,"Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:PayableRoundingAmount",,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,80
BT-115,"The outstanding amount for which Payment is required A group of business terms that offer information on the distribution of VAT by different categories, rates and grounds for exemption",Amount due for payment,Amount,212.50,1..1,,"The outstanding amount for which Payment is required A group of business terms that offer information on the distribution of VAT by different categories, rates and grounds for exemption This amount is the total amount of the invoice with VAT minus the amount paid in advance. The amount is zero in the case of an invoice that has been paid in full. The amount can be negative; in this case, the Seller owes this amount to the Buyer.","Invoice: /Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount
CreditNote: /CreditNote/cac:LegalMonetaryTotal/cbc:PayableAmount","BR-15 The invoice must have an amount due for payment (BT-115) | BR-CO-16 Amount due for payment (BT-115) = Total invoice amount with VAT (BT-112) - Amount paid (BT-113) + Rounding Amount (BT-114) | BR-CO-25 In the case of a positive amount due for payment (BT-115), either the due date of payment (BT-9) or the terms of payment (BT-20) must be indicated | HR-BR-4 In the case of a positive amount due for payment (BT-115), the due date of payment (BT-9) must be indicated.",,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"80,84"
BT-116,The sum of all taxable amounts subject to a specific code VAT category and VAT category rate (if VAT category rate is applicable).,Taxable amount of the VAT category,Amount,100.00,1..1,,The sum of all taxable amounts subject to a specific code VAT category and VAT category rate (if VAT category rate is applicable). The sum of the net amount of invoice items minus discounts plus document- level costs that are subject to a specific VAT category code and VAT category rate (if VAT category rate is applicable).,"Invoice: /Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount
CreditNote: /CreditNote/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount",,,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,84
BT-117,The total amount of VAT for each VAT category.,Amount of VAT category tax,Amount,25.00,1..1,,The total amount of VAT for each VAT category. It is calculated by multiplying the taxable amount of the VAT category by the VAT category rate for the relevant VAT category.,"Invoice: /Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount
CreditNote: /CreditNote/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount","BR-45 Each VAT distribution (BG-23) must have a taxable amount of the VAT category (BT-116) | BR-46 Each VAT allocation (BG-23) must have a tax amount of the VAT category (BT-117) | BR-CO-14 Total VAT amount of the invoice (BT-110) = Ʃ of the VAT category tax amount (BT-117) 2017 Amount of VAT category tax (BT-117) = Taxable amount of VAT category (BT-116) × VAT category rate (BT- bks_cms_hotel 119)/100), rounded to two decimal places _marketing_by _bookingsuite",,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,84
BT-118,Coded VAT category identification.,VAT Category Code,Code,S,1..1,UNTDID 5305,"Coded VAT category identification. The following determinants from UNTDID 5305 [3] are used (additional clarification in parentheses): - Standard rate (subject to VAT on the standard way). - Goods with a zero rate (subject to VAT at a zero percentage rate) - Tax Exempt (VAT/IGIC/IPSI) - VAT rules for reverse charge (VAT/IGIC/IPSI reverse charge rules apply) - VAT exemption for intra-EU supplies of goods (VAT/IGIC/IPSI not charged due to intra-EU supply rules) - A free export item, the tax is not (VAT/IGIC/IPSI is not charged due to exports outside the EU) - Services outside the scope of tax (VAT/IGIC/IPSI does not apply to sales) - General indirect tax for the Canary Islands (subject to IGIC tax) - Subject to IPSI (tax for Ceuta and Melilla)","Invoice: /Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
CreditNote: /CreditNote/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID",BR-47 Each VAT allocation (BG-23) must be defined via the VAT category code (BT-118),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,84
BT-119,"The VAT rate, shown as a percentage applied to the relevant VAT category.",VAT category rate,Percentage,25,0..1,,"The VAT rate, shown as a percentage applied to the relevant VAT category. The VAT category code and the VAT category rate must be aligned.","Invoice: /Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
CreditNote: /CreditNote/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent","BR-48 Each VAT distribution (BG-23) must have a VAT category rate (BT-119), unless the entire invoice is subject to VAT 2017 Amount of VAT category tax (BT-117) = taxable amount of VAT category (BT-116) × VAT category rate (BT- bks_cms_hotel 119)/100), rounded to two decimal places _marketing_by _bookingsuite",,,2,2,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,84
BT-120,A textual indication of the reason why the amount is exempt from VAT or not subject to VAT,Text of the reasons for VAT exemption,Text,Tax-exempt under Art. Xx,0..1,,A textual indication of the reason why the amount is exempt from VAT or not subject to VAT Article 226(11) to (15) of the Directive 2006/112/EC of the VAT Act [2].,"Invoice: /Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason
CreditNote: /CreditNote/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,85
